Station,depth,long,lat,DGM_pg_L,HgT_ng_L,MMHg_pM,CTDPRS,CTDTMP,CTDSAL,CTDOXY,PHSPHT,SILCAT,NITRIT,NITRAT
20,5,-50.98,-38.11,,0.26,0.0896,5.166666667,22.23,35.08333333,210.5933333,0.08,1.475,0.005,0.026666667
20,75,-50.98,-38.11,,0.25,0.1327,75.2,19.38,36.11,212.65,,,,0
20,94,-50.98,-38.11,,0.27,0.2396,94.9,17.9,35.95,207.96,,,,0
20,194,-50.98,-38.11,,0.23,0.0600,195.4,14.86,35.53,208.69,,,,0
20,493,-50.98,-38.11,,0.39,0.0365,496.9,6.45,34.35,227.22,,,,0
20,692,-50.98,-38.11,,0.27,0.0120,698.15,4.5,34.19,246.55,,,,0
20,791,-50.98,-38.11,,0.27,0.0237,798.9,4.22,34.21,234.25,,,,0
20,892,-50.98,-38.11,,0.27,0.0278,900.2,3.68,34.21,228.96,,,,0
20,992,-50.98,-38.11,,0.33,0.0137,1001.5,3.69,34.28,209.73,,,,0
20,1241,-50.98,-38.11,,0.32,0.0000,1254,3.06,34.36,190.85,,,,0
20,1490,-50.98,-38.11,,0.43,0.0000,1506.5,3.07,34.52,181.08,,,,0
20,1989,-50.98,-38.11,,0.3,0.0120,2013.6,3.13,34.77,196.25,,,,0
20,2238,-50.98,-38.11,,0.34,0.0195,2267.15,3.275,34.86,215.925,1.48,26.86,0.01,11.325
20,2488,-50.98,-38.11,,0.28,0.0000,2521.533333,3.18,34.89333333,227.4566667,1.72,49.56,0.01,8.7
20,2987,-50.98,-38.11,,0.29,0.0120,3031.35,2.805,34.895,232.85,1.51,40.12,0.01,11.535
20,3486,-50.98,-38.11,,0.35,0.0005,3541.8,1.56,34.74,202.38,,,,0
20,3987,-50.98,-38.11,,0.34,0.0000,4055.1,0.93,34.71,210.77,,,,0
20,4267,-50.98,-38.11,,,0.0058,4343.1,0.57,34.69,216.48,,,,0
20,4487,-50.98,-38.11,,0.53,0.0000,4569.15,0.36,34.68,220.825,,,,0
20,4822,-50.98,-38.11,,0.46,0.0061,4914.65,0.26,34.67,225.93,,,,0
